Star,Radius,Spectral type,
Theoretical limit,"~1,500",,
Eta Andromedae A,14.03,G8III-IV,
98 Aquarii,14.00,K0III,
Xi Persei,14.00,O7.5III(n)((f)),
Adhara,13.90,B2II,
Delta Andromedae Aa,13.60,K3III+K4±2,
Mu Velorum A,13.00,G5III,
Ain,12.69,K0III,
Larawag,12.60,K1III,
Alkes,12.32,K1III,
Gamma Apodis,12.24,G9III,
Iota Antliae,12.10,K1III,
Theta Aquarii,12.00,G8III-IV ,
Capella Aa,11.98,K0III,
WR 124,11.93,WN8h,
Tyl,11.15,G7IIIbFe-1,
Iota Cephei,11.08,K0III,
Asellus Australis,11.00,K0III,
Beta Apodis,11.00,K0III,
91 Aquarii,10.96,K1III,
11 Cephei,10.93,K0.5III,
Menkent,10.60,K0III,
Vindemiatrix,10.60,G8III,
Delta Persei,10.50,B5III,
Theta Ceti,10.04,K0III,
Gamma Cassiopeiae Aa,10.00,B0.5IVe,
Mirzam,9.700,B1II-III,
Pollux,9.060,K0III,
Epsilon Andromedae,9.040,G6III,
Beta Centauri Aa,9.000,B1III,
Capella Ab,8.830,G1III,
Beta Crucis A,8.400,B0.5III,
Alpha2 Capricorni,8.380,G8.5III-IV,
46 Leonis Minoris,8.220,K0+III-IV,
Delta Crucis,8.000,B2IV,
Achernar,7.970,B6Vep,
Lambda Andromedae,7.787,G8III-IV,
Epsilon Persei A,7.660,B0.5V+,
Mu Aquilae,7.660,K3-IIIb,
Spica A,7.470,B1III-IV,
Alnitak Ab,7.300,B1IV,
Omega Carinae,7.200,B8IIIe,
Phi Andromedae,7.000,B7III,
Miaplacidus,6.800,A1,
Omicron Andromedae Aa,6.600,B6pv SB,
Delta Centauri,6.500,B2Vne or B2IVne,
Alpha Pyxidis,6.300,B1.5V ,
Epsilon Centauri,6.250,B1III,
Pi Aquarii,6.200,B1III-Ve,
Epsilon Cassiopeiae,6.100,B3V,
Eta Centauri,6.100,B1.5Vne,
Electra,6.060,B6IIIe,
PP Carinae,6.000,B4Vne,
17 Cassiopeiae,5.900,B2IV  ,
Zeta Aquarii A,5.830,F3V,
Zeta Centauri,5.800,B2.5IV,
Bellatrix,5.750,B2III or B2V,
Beta Cephei,5.600,B1IV,
Iota Aquilae,5.500,B5III,
Lambda Tauri B,5.300,A4IV,
Antares B,5.200,B2.5V,
Delta Cygni A,5.130,A0IV,
Theta Carinae,5.100,B0.5Vp,
V357 Carinae,5.000,B2IV-V,
Gamma Cephei,4.930,K1III-IVCN1,
Peacock,4.830,B3V,
Gamma Pegasi,4.800,B2IV,
Theta Aquilae A,4.760,B9.5III,
Theta Aurigae,4.680,A0pSi,
Markab,4.620,A0IV,
Iota Andromedae,4.600,B8V,
Mu1 Scorpii B,4.600,B6.5V,
V539 Arae A,4.516,B2V,
Alpha Arae,4.500,B2Vne,
Gamma Gruis,4.500,B8III or B8IV-Vs,
Nunki,4.500,B2.5V,
S0-1,4.498,B?,
Kappa Cephei A,4.450,B9III,
16 Tauri,4.400,B7IV,
Kappa Centauri,4.400,B2IV,
Regulus A,4.350,B8IVn,
Omicron Velorum,4.300,B3/5(V),
Zeta2 Antliae,4.220,A9IV,
Beta Tauri,4.200,B7III,
Epsilon Centauri,4.200,B1III,
Alioth,4.140,A1III-IVpkB9,
Eta Cephei,4.120,K0IV,
Homam,4.030,B8V,
Omicron Aquarii,4.000,B7IVe,
Delta Cassiopeiae,3.900,A5IV,
Delta2 Chamaeleontis,3.900,B3V or B2.5IV,
Epsilon Apodis,3.900,B3V,
Zeta Canis Majoris,3.900,B2.5V,
Spica B,3.740,B2V,
BU Tauri,3.701,B8Vne,
Beta Leonis Minoris B,3.700,F8IV,
4 Scorpii,3.602,A3V,
Maia,3.590,B8III,
Beta Cassiopeiae,3.560,F2III,
Gomeisa,3.500,B8Ve,
Algol B,3.480,K0IV,
Alnair,3.400,B2.5IV,
Nu Andromedae,3.400,B4/5V,
53 Piscium,3.300,B2.5IV,
WR 104,3.290,WC9d,
Alpha Trianguli,3.220,F5III-F6IV,
Delta Arae,3.120,B8V,
Theta Cephei,3.090,A7III or kA7hF1mF2,
Beta Aquilae A,3.064,G9.5IV,
Gamma Ursae Majoris,3.040,A0Ve,
Beta Ursae Majoris,3.021,A1IVps,
32 Cygni B,3.000,B7V,
HR 6902 B,3.000,B8V,
Alphecca A,2.965,A0V,
Chi Lupi A,2.850,B9.5V,
Beta Chamaeleontis,2.840,B4V ,
Theta Draconis A,2.830,F9V,
Alderamin,2.823,A8Vn or A7IV-V,
Delta Ursae Minoris,2.800,A1Van,
Eta Aquarii,2.770,B9IV-Vn or B8/9V,
Menkalinan,2.770,A1mIV,
Algol A,2.730,B8V,
12 Scorpii A,2.722,B9V,
Epsilon Herculis,2.720,A0V or A0IV+,
Alpheratz,2.700,B8IVpMnHg,
HD 9531,2.700,B9IV,
Muphrid,2.672,G0IV,
